"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 12:12:14 GMT 2024","Tue Jul 16 12:12:16 GMT 2024","1648","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Tue Jul 16 12:12:22 GMT 2024","Tue Jul 16 12:12:25 GMT 2024","2897","chromium","","User Registration","","","Should be able to register new user",""
"passed","Tue Jul 16 12:12:21 GMT 2024","Tue Jul 16 12:12:22 GMT 2024","509","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Tue Jul 16 12:12:16 GMT 2024","Tue Jul 16 12:12:19 GMT 2024","2988","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Tue Jul 16 12:12:19 GMT 2024","Tue Jul 16 12:12:21 GMT 2024","1965","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Tue Jul 16 12:10:34 GMT 2024","Tue Jul 16 12:12:12 GMT 2024","98081","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Tue Jul 16 12:12:21 GMT 2024","Tue Jul 16 12:12:21 GMT 2024","30","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Tue Jul 16 12:12:25 GMT 2024","Tue Jul 16 12:12:26 GMT 2024","1671","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Tue Jul 16 12:12:22 GMT 2024","Tue Jul 16 12:12:22 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Tue Jul 16 12:12:12 GMT 2024","Tue Jul 16 12:12:13 GMT 2024","1451","chromium","","Notes App Login","","","should see error message when login fails",""
