"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 12:02:54 GMT 2024","Sun Jul 21 12:02:55 GMT 2024","511","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Sun Jul 21 12:02:52 GMT 2024","Sun Jul 21 12:02:54 GMT 2024","1981","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Sun Jul 21 12:02:54 GMT 2024","Sun Jul 21 12:02:54 GMT 2024","15","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Sun Jul 21 12:02:55 GMT 2024","Sun Jul 21 12:02:58 GMT 2024","2731","chromium","","User Registration","","","Should be able to register new user",""
"passed","Sun Jul 21 12:02:58 GMT 2024","Sun Jul 21 12:02:59 GMT 2024","1574","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Sun Jul 21 12:01:08 GMT 2024","Sun Jul 21 12:02:46 GMT 2024","98189","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Sun Jul 21 12:02:51 GMT 2024","Sun Jul 21 12:02:52 GMT 2024","1326","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Sun Jul 21 12:02:55 GMT 2024","Sun Jul 21 12:02:55 GMT 2024","268","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Sun Jul 21 12:02:46 GMT 2024","Sun Jul 21 12:02:47 GMT 2024","1184","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Sun Jul 21 12:02:48 GMT 2024","Sun Jul 21 12:02:51 GMT 2024","2601","chromium","","Notes App e2e flow","","","Should see notes page login",""
