"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 20 12:13:29 GMT 2024","Mon May 20 12:13:34 GMT 2024","4228","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon May 20 12:13:29 GMT 2024","Mon May 20 12:13:29 GMT 2024","394","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Mon May 20 12:13:34 GMT 2024","Mon May 20 12:13:36 GMT 2024","2240","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Mon May 20 12:13:28 GMT 2024","Mon May 20 12:13:29 GMT 2024","509","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Mon May 20 12:13:26 GMT 2024","Mon May 20 12:13:28 GMT 2024","1955","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon May 20 12:13:22 GMT 2024","Mon May 20 12:13:25 GMT 2024","2359","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Mon May 20 12:12:39 GMT 2024","Mon May 20 12:13:22 GMT 2024","43123","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon May 20 12:13:25 GMT 2024","Mon May 20 12:13:26 GMT 2024","1894","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
