"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 12:03:48 GMT 2024","Wed Jul 24 12:03:50 GMT 2024","1981","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Wed Jul 24 12:03:50 GMT 2024","Wed Jul 24 12:03:50 GMT 2024","265","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Wed Jul 24 12:03:46 GMT 2024","Wed Jul 24 12:03:48 GMT 2024","1988","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Wed Jul 24 12:03:42 GMT 2024","Wed Jul 24 12:03:46 GMT 2024","3636","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Wed Jul 24 12:03:55 GMT 2024","Wed Jul 24 12:03:57 GMT 2024","2502","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Wed Jul 24 12:03:50 GMT 2024","Wed Jul 24 12:03:50 GMT 2024","46","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Wed Jul 24 12:03:50 GMT 2024","Wed Jul 24 12:03:55 GMT 2024","4296","chromium","","User Registration","","","Should be able to register new user",""
"passed","Wed Jul 24 12:03:10 GMT 2024","Wed Jul 24 12:03:38 GMT 2024","28085","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Wed Jul 24 12:03:50 GMT 2024","Wed Jul 24 12:03:50 GMT 2024","475","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Wed Jul 24 12:03:38 GMT 2024","Wed Jul 24 12:03:41 GMT 2024","2576","chromium","","Notes App Login","","","should see error message when login fails",""
