"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 12:12:04 GMT 2024","Sat Aug 17 12:12:06 GMT 2024","1944","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Sat Aug 17 12:12:07 GMT 2024","Sat Aug 17 12:12:11 GMT 2024","4266","chromium","","User Registration","","","Should be able to register new user",""
"passed","Sat Aug 17 12:12:06 GMT 2024","Sat Aug 17 12:12:07 GMT 2024","476","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Sat Aug 17 12:10:50 GMT 2024","Sat Aug 17 12:11:57 GMT 2024","67306","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Sat Aug 17 12:12:01 GMT 2024","Sat Aug 17 12:12:04 GMT 2024","3000","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Sat Aug 17 12:11:59 GMT 2024","Sat Aug 17 12:12:01 GMT 2024","2175","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Sat Aug 17 12:12:07 GMT 2024","Sat Aug 17 12:12:07 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Sat Aug 17 12:12:11 GMT 2024","Sat Aug 17 12:12:13 GMT 2024","1924","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Sat Aug 17 12:11:57 GMT 2024","Sat Aug 17 12:11:58 GMT 2024","1219","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Sat Aug 17 12:12:06 GMT 2024","Sat Aug 17 12:12:06 GMT 2024","15","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
