"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 14:10:17 GMT 2024","Tue Jul 23 14:10:19 GMT 2024","2040","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Tue Jul 23 14:10:12 GMT 2024","Tue Jul 23 14:10:12 GMT 2024","27","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Tue Jul 23 14:10:07 GMT 2024","Tue Jul 23 14:10:09 GMT 2024","2326","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Tue Jul 23 14:10:13 GMT 2024","Tue Jul 23 14:10:13 GMT 2024","393","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Tue Jul 23 14:10:13 GMT 2024","Tue Jul 23 14:10:17 GMT 2024","4381","chromium","","User Registration","","","Should be able to register new user",""
"passed","Tue Jul 23 14:10:09 GMT 2024","Tue Jul 23 14:10:12 GMT 2024","2968","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Tue Jul 23 14:10:04 GMT 2024","Tue Jul 23 14:10:07 GMT 2024","2878","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Tue Jul 23 14:10:01 GMT 2024","Tue Jul 23 14:10:03 GMT 2024","1458","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Tue Jul 23 14:10:12 GMT 2024","Tue Jul 23 14:10:13 GMT 2024","544","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Tue Jul 23 14:09:56 GMT 2024","Tue Jul 23 14:10:01 GMT 2024","5014","chromium","","Notes App Login","","","should see user successfully logged in",""
