"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 03 12:14:40 GMT 2024","Wed Jul 03 12:14:42 GMT 2024","2518","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Wed Jul 03 12:14:42 GMT 2024","Wed Jul 03 12:14:44 GMT 2024","1320","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Wed Jul 03 12:14:46 GMT 2024","Wed Jul 03 12:14:49 GMT 2024","2948","chromium","","User Registration","","","Should be able to register new user",""
"passed","Wed Jul 03 12:14:46 GMT 2024","Wed Jul 03 12:14:46 GMT 2024","396","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Wed Jul 03 12:14:46 GMT 2024","Wed Jul 03 12:14:46 GMT 2024","175","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Wed Jul 03 12:14:38 GMT 2024","Wed Jul 03 12:14:39 GMT 2024","1237","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Wed Jul 03 12:14:49 GMT 2024","Wed Jul 03 12:14:51 GMT 2024","1641","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Wed Jul 03 12:13:03 GMT 2024","Wed Jul 03 12:14:38 GMT 2024","94295","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Wed Jul 03 12:14:46 GMT 2024","Wed Jul 03 12:14:46 GMT 2024","31","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Wed Jul 03 12:14:44 GMT 2024","Wed Jul 03 12:14:46 GMT 2024","1969","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
