"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 12:03:02 GMT 2024","Fri May 31 12:03:04 GMT 2024","2094","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Fri May 31 12:02:52 GMT 2024","Fri May 31 12:02:55 GMT 2024","2431","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Fri May 31 12:02:55 GMT 2024","Fri May 31 12:02:56 GMT 2024","975","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Fri May 31 12:02:59 GMT 2024","Fri May 31 12:03:02 GMT 2024","3873","chromium","","User Registration","","","Should be able to register new user",""
"passed","Fri May 31 12:02:58 GMT 2024","Fri May 31 12:02:59 GMT 2024","392","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Fri May 31 12:02:58 GMT 2024","Fri May 31 12:02:58 GMT 2024","543","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Fri May 31 12:01:49 GMT 2024","Fri May 31 12:02:50 GMT 2024","60818","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Fri May 31 12:02:50 GMT 2024","Fri May 31 12:02:51 GMT 2024","1212","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Fri May 31 12:02:56 GMT 2024","Fri May 31 12:02:58 GMT 2024","1979","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Fri May 31 12:02:58 GMT 2024","Fri May 31 12:02:58 GMT 2024","31","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
