"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 12:14:22 GMT 2024","Wed Jul 10 12:14:24 GMT 2024","1914","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Wed Jul 10 12:14:15 GMT 2024","Wed Jul 10 12:14:16 GMT 2024","1326","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Wed Jul 10 12:14:16 GMT 2024","Wed Jul 10 12:14:18 GMT 2024","1981","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Wed Jul 10 12:14:18 GMT 2024","Wed Jul 10 12:14:19 GMT 2024","478","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Wed Jul 10 12:14:18 GMT 2024","Wed Jul 10 12:14:18 GMT 2024","31","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Wed Jul 10 12:14:12 GMT 2024","Wed Jul 10 12:14:15 GMT 2024","3265","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Wed Jul 10 12:14:19 GMT 2024","Wed Jul 10 12:14:22 GMT 2024","3466","chromium","","User Registration","","","Should be able to register new user",""
"passed","Wed Jul 10 12:14:08 GMT 2024","Wed Jul 10 12:14:10 GMT 2024","2576","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Wed Jul 10 12:14:19 GMT 2024","Wed Jul 10 12:14:19 GMT 2024","262","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Wed Jul 10 12:13:59 GMT 2024","Wed Jul 10 12:14:08 GMT 2024","8516","chromium","","Notes App Login","","","should see user successfully logged in",""
