"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:14:33 GMT 2024","Thu Aug 15 12:14:34 GMT 2024","528","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Thu Aug 15 12:14:27 GMT 2024","Thu Aug 15 12:14:30 GMT 2024","2907","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Thu Aug 15 12:14:31 GMT 2024","Thu Aug 15 12:14:33 GMT 2024","1976","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Thu Aug 15 12:14:34 GMT 2024","Thu Aug 15 12:14:34 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Thu Aug 15 12:14:30 GMT 2024","Thu Aug 15 12:14:31 GMT 2024","1326","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Thu Aug 15 12:14:34 GMT 2024","Thu Aug 15 12:14:37 GMT 2024","2781","chromium","","User Registration","","","Should be able to register new user",""
"passed","Thu Aug 15 12:13:58 GMT 2024","Thu Aug 15 12:14:25 GMT 2024","26920","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Thu Aug 15 12:14:33 GMT 2024","Thu Aug 15 12:14:33 GMT 2024","16","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Thu Aug 15 12:14:25 GMT 2024","Thu Aug 15 12:14:26 GMT 2024","1206","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Thu Aug 15 12:14:37 GMT 2024","Thu Aug 15 12:14:39 GMT 2024","1778","chromium","","User Registration","","","Should not be able to register with existing username",""
