"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 12:10:18 GMT 2024","Sat May 25 12:10:19 GMT 2024","1334","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Sat May 25 12:10:26 GMT 2024","Sat May 25 12:10:28 GMT 2024","1706","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Sat May 25 12:10:23 GMT 2024","Sat May 25 12:10:23 GMT 2024","263","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Sat May 25 12:10:22 GMT 2024","Sat May 25 12:10:23 GMT 2024","495","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Sat May 25 12:10:21 GMT 2024","Sat May 25 12:10:22 GMT 2024","955","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Sat May 25 12:09:19 GMT 2024","Sat May 25 12:10:18 GMT 2024","59379","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Sat May 25 12:10:23 GMT 2024","Sat May 25 12:10:26 GMT 2024","2796","chromium","","User Registration","","","Should be able to register new user",""
"passed","Sat May 25 12:10:19 GMT 2024","Sat May 25 12:10:21 GMT 2024","1907","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
