"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 12:12:10 GMT 2024","Mon Aug 26 12:12:11 GMT 2024","935","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Mon Aug 26 12:12:12 GMT 2024","Mon Aug 26 12:12:13 GMT 2024","982","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon Aug 26 12:12:11 GMT 2024","Mon Aug 26 12:12:12 GMT 2024","802","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Mon Aug 26 12:12:11 GMT 2024","Mon Aug 26 12:12:12 GMT 2024","1339","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Mon Aug 26 12:12:14 GMT 2024","Mon Aug 26 12:12:14 GMT 2024","263","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Mon Aug 26 12:12:05 GMT 2024","Mon Aug 26 12:12:11 GMT 2024","5830","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon Aug 26 12:12:11 GMT 2024","Mon Aug 26 12:12:13 GMT 2024","1970","chromium","","Notes App User Info","","","should be able to view user profile information",""
"passed","Mon Aug 26 12:12:05 GMT 2024","Mon Aug 26 12:12:10 GMT 2024","5194","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon Aug 26 12:12:04 GMT 2024","Mon Aug 26 12:12:11 GMT 2024","7003","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Mon Aug 26 12:12:13 GMT 2024","Mon Aug 26 12:12:14 GMT 2024","542","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Mon Aug 26 12:12:13 GMT 2024","Mon Aug 26 12:12:13 GMT 2024","44","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
