"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 12:11:50 GMT 2024","Mon Aug 19 12:11:51 GMT 2024","532","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Mon Aug 19 12:11:51 GMT 2024","Mon Aug 19 12:11:51 GMT 2024","288","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Mon Aug 19 12:11:50 GMT 2024","Mon Aug 19 12:11:50 GMT 2024","33","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Mon Aug 19 12:11:48 GMT 2024","Mon Aug 19 12:11:48 GMT 2024","651","chromium","","Notes App Login","","","should see error message when login fails",""
"failed","Mon Aug 19 12:12:14 GMT 2024","Mon Aug 19 12:12:26 GMT 2024","12505","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon Aug 19 12:11:49 GMT 2024","Mon Aug 19 12:11:50 GMT 2024","1340","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon Aug 19 12:11:48 GMT 2024","Mon Aug 19 12:11:49 GMT 2024","1334","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Mon Aug 19 12:11:45 GMT 2024","Mon Aug 19 12:11:48 GMT 2024","2640","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon Aug 19 12:11:44 GMT 2024","Mon Aug 19 12:11:48 GMT 2024","3939","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Mon Aug 19 12:11:48 GMT 2024","Mon Aug 19 12:11:51 GMT 2024","3164","chromium","","Notes App User Info","","","should be able to view user profile information",""
"passed","Mon Aug 19 12:12:28 GMT 2024","Mon Aug 19 12:12:30 GMT 2024","1801","chromium","","User Registration","","","Should not be able to register with existing username",""
