"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 12:03:10 GMT 2024","Thu Jun 20 12:03:13 GMT 2024","2960","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Thu Jun 20 12:03:13 GMT 2024","Thu Jun 20 12:03:14 GMT 2024","1324","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Thu Jun 20 12:01:27 GMT 2024","Thu Jun 20 12:03:07 GMT 2024","99893","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Thu Jun 20 12:03:16 GMT 2024","Thu Jun 20 12:03:17 GMT 2024","494","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Thu Jun 20 12:03:14 GMT 2024","Thu Jun 20 12:03:16 GMT 2024","1966","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Thu Jun 20 12:03:07 GMT 2024","Thu Jun 20 12:03:09 GMT 2024","1673","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Thu Jun 20 12:03:17 GMT 2024","Thu Jun 20 12:03:21 GMT 2024","3885","chromium","","User Registration","","","Should be able to register new user",""
"passed","Thu Jun 20 12:03:21 GMT 2024","Thu Jun 20 12:03:23 GMT 2024","2495","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Thu Jun 20 12:03:17 GMT 2024","Thu Jun 20 12:03:17 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Thu Jun 20 12:03:16 GMT 2024","Thu Jun 20 12:03:16 GMT 2024","16","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
