"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 12:13:53 GMT 2024","Fri Jun 07 12:13:55 GMT 2024","1964","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Fri Jun 07 12:13:51 GMT 2024","Fri Jun 07 12:13:53 GMT 2024","2552","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Fri Jun 07 12:13:58 GMT 2024","Fri Jun 07 12:13:58 GMT 2024","261","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Fri Jun 07 12:13:42 GMT 2024","Fri Jun 07 12:13:48 GMT 2024","6275","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Fri Jun 07 12:13:58 GMT 2024","Fri Jun 07 12:14:02 GMT 2024","3714","chromium","","User Registration","","","Should be able to register new user",""
"passed","Fri Jun 07 12:13:57 GMT 2024","Fri Jun 07 12:13:57 GMT 2024","32","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Fri Jun 07 12:13:48 GMT 2024","Fri Jun 07 12:13:50 GMT 2024","1200","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Fri Jun 07 12:13:57 GMT 2024","Fri Jun 07 12:13:58 GMT 2024","477","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Fri Jun 07 12:13:55 GMT 2024","Fri Jun 07 12:13:57 GMT 2024","1977","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Fri Jun 07 12:14:02 GMT 2024","Fri Jun 07 12:14:04 GMT 2024","2170","chromium","","User Registration","","","Should not be able to register with existing username",""
