"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 12:19:16 GMT 2024","Tue Jul 09 12:19:19 GMT 2024","2893","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Tue Jul 09 12:19:22 GMT 2024","Tue Jul 09 12:19:23 GMT 2024","509","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Tue Jul 09 12:19:10 GMT 2024","Tue Jul 09 12:19:15 GMT 2024","5273","chromium","","Notes App Login","","","should see error message when login fails",""
"broken","Tue Jul 09 12:16:52 GMT 2024","Tue Jul 09 12:18:53 GMT 2024","120624","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Tue Jul 09 12:19:19 GMT 2024","Tue Jul 09 12:19:20 GMT 2024","960","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Tue Jul 09 12:19:23 GMT 2024","Tue Jul 09 12:19:23 GMT 2024","395","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Tue Jul 09 12:19:26 GMT 2024","Tue Jul 09 12:19:28 GMT 2024","1697","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Tue Jul 09 12:19:23 GMT 2024","Tue Jul 09 12:19:26 GMT 2024","2892","chromium","","User Registration","","","Should be able to register new user",""
"passed","Tue Jul 09 12:19:22 GMT 2024","Tue Jul 09 12:19:22 GMT 2024","15","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Tue Jul 09 12:19:20 GMT 2024","Tue Jul 09 12:19:22 GMT 2024","1981","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
