"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 12:03:03 GMT 2024","Wed Jun 26 12:03:04 GMT 2024","1543","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Wed Jun 26 12:02:57 GMT 2024","Wed Jun 26 12:02:59 GMT 2024","1978","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Wed Jun 26 12:02:59 GMT 2024","Wed Jun 26 12:03:00 GMT 2024","475","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Wed Jun 26 12:02:54 GMT 2024","Wed Jun 26 12:02:56 GMT 2024","2468","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Wed Jun 26 12:03:00 GMT 2024","Wed Jun 26 12:03:00 GMT 2024","266","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Wed Jun 26 12:02:56 GMT 2024","Wed Jun 26 12:02:57 GMT 2024","1339","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Wed Jun 26 12:03:00 GMT 2024","Wed Jun 26 12:03:03 GMT 2024","2584","chromium","","User Registration","","","Should be able to register new user",""
"passed","Wed Jun 26 12:02:51 GMT 2024","Wed Jun 26 12:02:53 GMT 2024","1261","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Wed Jun 26 12:02:59 GMT 2024","Wed Jun 26 12:02:59 GMT 2024","15","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Wed Jun 26 12:01:02 GMT 2024","Wed Jun 26 12:02:51 GMT 2024","109096","chromium","","Notes App Login","","","should see user successfully logged in",""
