"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 23 12:14:28 GMT 2024","Thu May 23 12:14:39 GMT 2024","11461","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"failed","Thu May 23 12:15:46 GMT 2024","Thu May 23 12:15:58 GMT 2024","11336","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"failed","Thu May 23 12:15:07 GMT 2024","Thu May 23 12:15:19 GMT 2024","11851","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Thu May 23 12:17:17 GMT 2024","Thu May 23 12:17:23 GMT 2024","5897","chromium","","User Registration","","","Should be able to register new user",""
"passed","Thu May 23 12:17:23 GMT 2024","Thu May 23 12:17:25 GMT 2024","2313","chromium","","User Registration","","","Should not be able to register with existing username",""
"failed","Thu May 23 12:17:04 GMT 2024","Thu May 23 12:17:15 GMT 2024","11251","chromium","","Notes App e2e flow","","","Should be able to logout",""
"failed","Thu May 23 12:12:59 GMT 2024","Thu May 23 12:14:00 GMT 2024","61866","chromium","","Notes App e2e flow","","","Should see notes page login",""
"failed","Thu May 23 12:16:26 GMT 2024","Thu May 23 12:16:37 GMT 2024","11232","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
