"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 12:09:28 GMT 2024","Sun May 26 12:10:09 GMT 2024","41373","chromium","","Notes App e2e flow","","","Should see notes page login",""
"failed","Sun May 26 12:13:15 GMT 2024","Sun May 26 12:13:26 GMT 2024","11220","chromium","","Notes App e2e flow","","","Should be able to logout",""
"failed","Sun May 26 12:11:18 GMT 2024","Sun May 26 12:11:29 GMT 2024","11384","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"failed","Sun May 26 12:11:57 GMT 2024","Sun May 26 12:12:09 GMT 2024","11744","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"failed","Sun May 26 12:10:39 GMT 2024","Sun May 26 12:10:50 GMT 2024","11158","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"failed","Sun May 26 12:12:36 GMT 2024","Sun May 26 12:12:47 GMT 2024","11321","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Sun May 26 12:13:31 GMT 2024","Sun May 26 12:13:33 GMT 2024","1775","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Sun May 26 12:13:27 GMT 2024","Sun May 26 12:13:31 GMT 2024","4059","chromium","","User Registration","","","Should be able to register new user",""
