"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 31 12:15:36 GMT 2024","Sat Aug 31 12:16:37 GMT 2024","60322","chromium","","Notes App User Info","","","should be able to view user profile information",""
"skipped","Sat Aug 31 12:13:35 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"skipped","Sat Aug 31 12:13:36 GMT 2024","Sat Aug 31 12:13:36 GMT 2024","0","chromium","","User Registration","","","Should not be able to register with existing username",""
"skipped","Sat Aug 31 12:13:35 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to logout",""
"failed","Sat Aug 31 12:12:32 GMT 2024","Sat Aug 31 12:13:32 GMT 2024","60618","chromium","","Notes App Login","","","should see user successfully logged in",""
"skipped","Sat Aug 31 12:13:35 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","0","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"failed","Sat Aug 31 12:12:35 GMT 2024","Sat Aug 31 12:13:36 GMT 2024","60610","chromium","","User Registration","","","Should be able to register new user",""
"skipped","Sat Aug 31 12:13:35 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","1","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"failed","Sat Aug 31 12:12:34 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","60346","chromium","","Notes App e2e flow","","","Should see notes page login",""
"failed","Sat Aug 31 12:15:35 GMT 2024","Sat Aug 31 12:16:35 GMT 2024","60603","chromium","","Notes App Login","","","should see error message when login fails",""
"skipped","Sat Aug 31 12:13:35 GMT 2024","Sat Aug 31 12:13:35 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
