"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 27 12:13:39 GMT 2024","Tue Aug 27 12:14:40 GMT 2024","60721","chromium","","User Registration","","","Should be able to register new user",""
"skipped","Tue Aug 27 12:14:39 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","0","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"skipped","Tue Aug 27 12:14:40 GMT 2024","Tue Aug 27 12:14:40 GMT 2024","0","chromium","","User Registration","","","Should not be able to register with existing username",""
"failed","Tue Aug 27 12:13:37 GMT 2024","Tue Aug 27 12:14:37 GMT 2024","60654","chromium","","Notes App Login","","","should see user successfully logged in",""
"failed","Tue Aug 27 12:13:38 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","60342","chromium","","Notes App e2e flow","","","Should see notes page login",""
"skipped","Tue Aug 27 12:14:39 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","1","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"skipped","Tue Aug 27 12:14:39 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"failed","Tue Aug 27 12:16:40 GMT 2024","Tue Aug 27 12:17:40 GMT 2024","60738","chromium","","Notes App Login","","","should see error message when login fails",""
"skipped","Tue Aug 27 12:14:39 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"skipped","Tue Aug 27 12:14:39 GMT 2024","Tue Aug 27 12:14:39 GMT 2024","0","chromium","","Notes App e2e flow","","","Should be able to logout",""
"failed","Tue Aug 27 12:16:40 GMT 2024","Tue Aug 27 12:17:41 GMT 2024","60334","chromium","","Notes App User Info","","","should be able to view user profile information",""
