"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 21 12:10:11 GMT 2024","Fri Jun 21 12:12:10 GMT 2024","118640","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Fri Jun 21 12:12:18 GMT 2024","Fri Jun 21 12:12:18 GMT 2024","493","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Fri Jun 21 12:12:22 GMT 2024","Fri Jun 21 12:12:24 GMT 2024","2258","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Fri Jun 21 12:12:18 GMT 2024","Fri Jun 21 12:12:19 GMT 2024","262","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Fri Jun 21 12:12:12 GMT 2024","Fri Jun 21 12:12:14 GMT 2024","1807","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Fri Jun 21 12:12:14 GMT 2024","Fri Jun 21 12:12:16 GMT 2024","1983","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Fri Jun 21 12:12:18 GMT 2024","Fri Jun 21 12:12:18 GMT 2024","30","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Fri Jun 21 12:12:10 GMT 2024","Fri Jun 21 12:12:11 GMT 2024","1430","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Fri Jun 21 12:12:19 GMT 2024","Fri Jun 21 12:12:22 GMT 2024","3412","chromium","","User Registration","","","Should be able to register new user",""
"passed","Fri Jun 21 12:12:16 GMT 2024","Fri Jun 21 12:12:18 GMT 2024","1982","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
