"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 08 12:09:47 GMT 2024","Thu Aug 08 12:09:48 GMT 2024","1852","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Thu Aug 08 12:09:43 GMT 2024","Thu Aug 08 12:09:44 GMT 2024","263","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Thu Aug 08 12:09:41 GMT 2024","Thu Aug 08 12:09:43 GMT 2024","1963","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"broken","Thu Aug 08 12:06:40 GMT 2024","Thu Aug 08 12:08:45 GMT 2024","125183","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Thu Aug 08 12:08:45 GMT 2024","Thu Aug 08 12:09:35 GMT 2024","49834","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Thu Aug 08 12:09:43 GMT 2024","Thu Aug 08 12:09:43 GMT 2024","33","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Thu Aug 08 12:09:39 GMT 2024","Thu Aug 08 12:09:41 GMT 2024","2342","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Thu Aug 08 12:09:44 GMT 2024","Thu Aug 08 12:09:47 GMT 2024","2756","chromium","","User Registration","","","Should be able to register new user",""
"passed","Thu Aug 08 12:09:36 GMT 2024","Thu Aug 08 12:09:39 GMT 2024","2555","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Thu Aug 08 12:09:43 GMT 2024","Thu Aug 08 12:09:43 GMT 2024","510","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
