"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 12:02:56 GMT 2024","Fri Jun 14 12:02:58 GMT 2024","1932","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Fri Jun 14 12:02:53 GMT 2024","Fri Jun 14 12:02:56 GMT 2024","2988","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Fri Jun 14 12:02:59 GMT 2024","Fri Jun 14 12:03:02 GMT 2024","3276","chromium","","User Registration","","","Should be able to register new user",""
"passed","Fri Jun 14 12:02:52 GMT 2024","Fri Jun 14 12:02:53 GMT 2024","1637","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Fri Jun 14 12:02:58 GMT 2024","Fri Jun 14 12:02:59 GMT 2024","492","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Fri Jun 14 12:02:59 GMT 2024","Fri Jun 14 12:02:59 GMT 2024","263","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Fri Jun 14 12:02:58 GMT 2024","Fri Jun 14 12:02:58 GMT 2024","16","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Fri Jun 14 12:02:44 GMT 2024","Fri Jun 14 12:02:49 GMT 2024","5183","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Fri Jun 14 12:03:02 GMT 2024","Fri Jun 14 12:03:04 GMT 2024","1813","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Fri Jun 14 12:02:49 GMT 2024","Fri Jun 14 12:02:51 GMT 2024","1369","chromium","","Notes App Login","","","should see error message when login fails",""
