"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 12:01:40 GMT 2024","Sun May 19 12:01:41 GMT 2024","1335","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Sun May 19 12:01:45 GMT 2024","Sun May 19 12:01:49 GMT 2024","4210","chromium","","User Registration","","","Should be able to register new user",""
"passed","Sun May 19 12:01:01 GMT 2024","Sun May 19 12:01:40 GMT 2024","38775","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Sun May 19 12:01:41 GMT 2024","Sun May 19 12:01:43 GMT 2024","1905","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Sun May 19 12:01:49 GMT 2024","Sun May 19 12:01:51 GMT 2024","2628","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Sun May 19 12:01:44 GMT 2024","Sun May 19 12:01:44 GMT 2024","495","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Sun May 19 12:01:44 GMT 2024","Sun May 19 12:01:45 GMT 2024","265","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Sun May 19 12:01:43 GMT 2024","Sun May 19 12:01:44 GMT 2024","954","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
