"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 12:12:35 GMT 2024","Thu Jun 06 12:12:37 GMT 2024","1966","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Thu Jun 06 12:12:37 GMT 2024","Thu Jun 06 12:12:37 GMT 2024","15","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Thu Jun 06 12:12:22 GMT 2024","Thu Jun 06 12:12:27 GMT 2024","5357","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Thu Jun 06 12:12:41 GMT 2024","Thu Jun 06 12:12:43 GMT 2024","2304","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Thu Jun 06 12:12:27 GMT 2024","Thu Jun 06 12:12:29 GMT 2024","2258","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Thu Jun 06 12:12:37 GMT 2024","Thu Jun 06 12:12:41 GMT 2024","3169","chromium","","User Registration","","","Should be able to register new user",""
"passed","Thu Jun 06 12:12:30 GMT 2024","Thu Jun 06 12:12:33 GMT 2024","2830","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Thu Jun 06 12:12:37 GMT 2024","Thu Jun 06 12:12:37 GMT 2024","262","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Thu Jun 06 12:12:37 GMT 2024","Thu Jun 06 12:12:37 GMT 2024","494","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Thu Jun 06 12:12:33 GMT 2024","Thu Jun 06 12:12:35 GMT 2024","1324","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
