"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 12:19:03 GMT 2024","Mon Jun 03 12:19:05 GMT 2024","1968","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon Jun 03 12:18:46 GMT 2024","Mon Jun 03 12:18:58 GMT 2024","11778","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Mon Jun 03 12:19:05 GMT 2024","Mon Jun 03 12:19:05 GMT 2024","510","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"broken","Mon Jun 03 12:15:21 GMT 2024","Mon Jun 03 12:17:26 GMT 2024","125178","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Mon Jun 03 12:19:05 GMT 2024","Mon Jun 03 12:19:09 GMT 2024","3153","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon Jun 03 12:18:59 GMT 2024","Mon Jun 03 12:19:01 GMT 2024","2595","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon Jun 03 12:19:01 GMT 2024","Mon Jun 03 12:19:03 GMT 2024","1320","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Mon Jun 03 12:19:09 GMT 2024","Mon Jun 03 12:19:11 GMT 2024","2575","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Mon Jun 03 12:19:05 GMT 2024","Mon Jun 03 12:19:05 GMT 2024","30","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Mon Jun 03 12:19:05 GMT 2024","Mon Jun 03 12:19:05 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
