"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 12:13:32 GMT 2024","Fri Jul 26 12:13:32 GMT 2024","492","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Fri Jul 26 12:13:32 GMT 2024","Fri Jul 26 12:13:32 GMT 2024","30","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Fri Jul 26 12:13:30 GMT 2024","Fri Jul 26 12:13:32 GMT 2024","1968","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Fri Jul 26 12:13:23 GMT 2024","Fri Jul 26 12:13:24 GMT 2024","1242","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Fri Jul 26 12:13:28 GMT 2024","Fri Jul 26 12:13:30 GMT 2024","1323","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Fri Jul 26 12:13:33 GMT 2024","Fri Jul 26 12:13:36 GMT 2024","3758","chromium","","User Registration","","","Should be able to register new user",""
"passed","Fri Jul 26 12:13:32 GMT 2024","Fri Jul 26 12:13:33 GMT 2024","266","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Fri Jul 26 12:12:56 GMT 2024","Fri Jul 26 12:13:23 GMT 2024","26763","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Fri Jul 26 12:13:25 GMT 2024","Fri Jul 26 12:13:28 GMT 2024","3276","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Fri Jul 26 12:13:36 GMT 2024","Fri Jul 26 12:13:39 GMT 2024","2172","chromium","","User Registration","","","Should not be able to register with existing username",""
