"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 12:11:01 GMT 2024","Tue May 21 12:11:03 GMT 2024","1964","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Tue May 21 12:10:57 GMT 2024","Tue May 21 12:10:57 GMT 2024","525","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Tue May 21 12:10:53 GMT 2024","Tue May 21 12:10:54 GMT 2024","1337","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Tue May 21 12:10:56 GMT 2024","Tue May 21 12:10:57 GMT 2024","956","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Tue May 21 12:10:54 GMT 2024","Tue May 21 12:10:56 GMT 2024","1907","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Tue May 21 12:10:58 GMT 2024","Tue May 21 12:11:01 GMT 2024","3537","chromium","","User Registration","","","Should be able to register new user",""
"passed","Tue May 21 12:10:13 GMT 2024","Tue May 21 12:10:53 GMT 2024","39494","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Tue May 21 12:10:57 GMT 2024","Tue May 21 12:10:58 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
