"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 12:11:36 GMT 2024","Mon Jul 08 12:13:34 GMT 2024","118326","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Mon Jul 08 12:13:34 GMT 2024","Mon Jul 08 12:13:36 GMT 2024","1397","chromium","","Notes App Login","","","should see error message when login fails",""
"passed","Mon Jul 08 12:13:41 GMT 2024","Mon Jul 08 12:13:43 GMT 2024","1979","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon Jul 08 12:13:43 GMT 2024","Mon Jul 08 12:13:43 GMT 2024","30","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Mon Jul 08 12:13:43 GMT 2024","Mon Jul 08 12:13:47 GMT 2024","3471","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon Jul 08 12:13:47 GMT 2024","Mon Jul 08 12:13:49 GMT 2024","1794","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Mon Jul 08 12:13:43 GMT 2024","Mon Jul 08 12:13:43 GMT 2024","264","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Mon Jul 08 12:13:43 GMT 2024","Mon Jul 08 12:13:43 GMT 2024","528","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Mon Jul 08 12:13:37 GMT 2024","Mon Jul 08 12:13:39 GMT 2024","1763","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon Jul 08 12:13:39 GMT 2024","Mon Jul 08 12:13:41 GMT 2024","1983","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
